ID,DISPLAY_NAME,INTEREST_RATE_DISPLAY,RISK_LEVEL,MIN_INVEST_AMOUNT,INCREASE_INVEST_AMOUNT,MAX_INVEST_AMOUNT,OPENING_DATE,COLLECT_START_DATE,COLLECT_END_DATE,BUY_FEE_DISCOUNT_DESC,BUY_FEE_DISCOUNT_DESC_1,REDEMPTION_FEE_RATE_DESC,FUND_MANAGER_NAME,INVEST_SCOPE,PERIOD
13715585,富盈,4.10%,较低,1,1,1000000000000,2018/10/01,null,null,0.3,0.5,0.2,管理人9289,阳光私募，银行债券,一年
13715242,富盈7852号,4.10%,低,1,1,1000000000000,2018/10/02,null,null,0.3,0.5,0.2,管理人9290,阳光私募，银行债券,一年
13210995,信理财,4.10%,高,10,1,10000000,2018/10/03,null,null,0.3,0.5,0.2,管理人0185,阳光私募，银行债券,一年
13211312,信理财3075号,31.00%,低,10,1,10000000,2018/10/04,null,null,0.3,0.5,0.2,管理人3698,阳光私募，银行债券,一年
13211315,陆金宝,10.10%,低,10,1,1000000000000,2018/10/05,null,null,0.3,0.5,0.2,管理人0325,阳光私募，银行债券,一年
13715161,聚金7733号,14.10%,低,1000,2,null,2018/10/06,null,null,0.3,0.5,0.2,管理人4266,阳光私募，银行债券,一年
13211395,聚金,11.00%,低,1000,1000,3000,2018/10/07,null,null,0.3,0.5,0.2,管理人4267,阳光私募，银行债券,一年
13714118,富盈,24.10%,低,10,1,1000000000000,2018/10/08,null,null,0.3,0.5,0.2,管理人4268,阳光私募，银行债券,一年
13713916,富盈213123,1.23%~7.65%,低,9000,2000,5000000,2018/10/09,null,null,0.3,0.5,0.2,管理人4269,阳光私募，银行债券,一年
13714717,金色人生,24.10%,低,20000,100,100000,2018/10/10,null,null,0.3,0.5,0.2,管理人4270,阳光私募，银行债券,一年
13714916,稳盈-安e,14.10%,低,20000,null,null,2018/10/11,null,null,0.3,0.5,0.2,管理人4271,阳光私募，银行债券,一年
13715217,同盈CDB,非保本浮动收益,低,10000,10000,100000,2018/10/12,null,null,0.3,0.5,0.2,管理人4272,阳光私募，银行债券,一年
13715316,慧盈-安e+ ,null,低,20000,100,100000,2018/10/13,null,null,0.3,0.5,0.2,管理人4273,阳光私募，银行债券,一年
13715416,立盈-聚信,6.50%,低,10000,10000,100000,2018/10/14,null,null,0.3,0.5,0.2,管理人4274,阳光私募，银行债券,一年
13720716,稳盈-安e+,6.50%,低,1000,1000,50000,2018/10/15,null,null,0.3,0.5,0.2,管理人4275,阳光私募，银行债券,一年
13720816,久盈智投,6%~7.66%,较低,10000,10000,100000,2018/10/16,null,null,0.3,0.5,0.2,管理人4276,阳光私募，银行债券,一年
13720916,稳盈-变现通,7%~7.66%,较低,1000,1000,3000,2018/10/17,null,null,0.3,0.5,0.2,管理人4277,阳光私募，银行债券,一年
13721227,久盈,8%~7.66%,较低,1000,100,2000,2018/10/18,null,null,0.3,0.5,0.2,管理人4278,阳光私募，银行债券,一年
13721228,智享-安e+,9%~7.66%,较低,1000,100,2000,2018/10/19,null,null,0.3,0.5,0.2,管理人4279,阳光私募，银行债券,一年
13721320,乐享智投,10%~7.66%,较低,20000,100,100000,2018/10/20,null,null,0.3,0.5,0.2,管理人4280,阳光私募，银行债券,一年
13721321,乐享,11%~7.66%,较低,20000,100,100000,2018/10/21,null,null,0.3,0.5,0.2,管理人4281,阳光私募，银行债券,一年
13721322,财富汇,4.6% ~ 5.7%,较低,20000,100,100000,2018/10/22,null,null,0.3,0.5,0.2,管理人4282,阳光私募，银行债券,一年
13721323,智享,5.6% ~ 5.7%,较低,1000,1000,3000,2018/10/23,null,null,0.3,0.5,0.2,管理人4283,阳光私募，银行债券,一年
13721324,稳盈-变现通,6.6% ~ 5.7%,较低,1000,1000,3000,2018/10/24,null,null,0.3,0.5,0.2,管理人4284,阳光私募，银行债券,一年
13721325,慧盈,6.50%,较低,10000,10000,100000,2018/10/25,null,null,0.3,0.5,0.2,管理人4285,阳光私募，银行债券,一年
13721326,创享-安e+,6%~7.66%,较低,10000,10000,100000,2018/10/26,null,null,0.3,0.5,0.2,管理人4286,阳光私募，银行债券,一年
13721327,创享,1.23%,较低,300000,10,5000000,2018/10/27,null,null,0.3,0.5,0.2,管理人4287,阳光私募，银行债券,一年
13716416,税延型,4.6% ~ 5.7%,较低,20000,100,100000,2018/10/28,null,null,0.3,0.5,0.2,管理人4288,阳光私募，银行债券,一年
13721223,鑫理财,5.6% ~ 5.7%,较低,100,5,1000,2018/10/29,null,null,0.3,0.5,0.2,管理人4289,阳光私募，银行债券,一年
13721224,智理财,6.6% ~ 5.7%,较低,100,5,1000,2018/10/30,null,null,0.3,0.5,0.2,管理人4290,阳光私募，银行债券,一年
13722316,银河水星,7.6% ~ 5.7%,较低,100,5,1000,2018/10/31,null,null,0.3,0.5,0.2,管理人4291,阳光私募，银行债券,一年
13722616,现金赢,8.6% ~ 5.7%,较低,20000,100,10000000,2018/10/32,null,null,0.3,0.5,0.2,管理人4292,阳光私募，银行债券,一年
13722617,现金赢3186890,9.6% ~ 5.7%,高,1000,1,5000000,2018/10/33,null,null,0.3,0.5,0.2,管理人4293,阳光私募，银行债券,一年
13721216,现金赢,10.6% ~ 5.7%,高,20000,null,null,2018/10/34,null,null,0.3,0.5,0.2,管理人4294,阳光私募，银行债券,一年
13721217,货币增强,11.6% ~ 5.7%,高,null,null,null,2018/10/35,null,null,0.3,0.5,0.2,管理人4295,阳光私募，银行债券,一年
